SpeciesID,G1,G2,G3,G4,mu1,mu2,mu3,mu4,F,wd
141,0.5467,0.23627,0.11794,0.08445,0.0173,0.0107,0.0219,0.0349,0.5332,0.792
147,0.46896,0.19655,0.09657,0.07225,0.019,0.0125,0.023,0.0355,1.1218,0.596
148,0.35238,0.10106,0.06428,0.05299,0.0131,0.006,0.0081,0.0141,0.9063,0.71
149,0.36631,0.19627,0.07222,0.0572,0.0363,0.0398,0.0697,0.087,16.0697,0.619
165,0.63858,0.39134,0.14941,0.10081,0.0269,0.0248,0.0638,0.088,1.2173,0.158
171,0.34422,0.11232,0.06325,0.05216,0.0166,0.0094,0.013,0.021,1.9726,0.59
175,0.57477,0.53854,0.13659,0.09301,0.0608,0.1102,0.3145,0.3321,18.5161,0.54
183,0.09597,0.02967,0.01223,0.0144,0.0508,0.0613,0.039,0.0434,2627.0074,0.383
185,0.10583,0.02913,0.01369,0.01578,0.0381,0.0365,0.0235,0.0288,833.3237,0.383
186,0.34225,0.12988,0.06381,0.05233,0.0216,0.0151,0.0223,0.0329,4.3153,0.33
191,0.49527,0.21189,0.1038,0.07642,0.0187,0.0122,0.0234,0.0363,0.9031,0.584
193,0.26651,0.06748,0.04434,0.03972,0.0138,0.0064,0.0069,0.0118,2.4967,0.57
199,0.41327,0.10836,0.07811,0.06187,0.0097,0.0035,0.005,0.0097,0.229,0.414
200,0.31579,0.1276,0.05794,0.04845,0.0259,0.0209,0.0301,0.0419,9.4285,0.576
206,0.32091,0.1846,0.06142,0.05029,0.0463,0.0613,0.1022,0.1177,49.5206,0.527
211,0.15936,0.05391,0.02365,0.0241,0.0366,0.036,0.0321,0.0398,212.1976,0.525
219,0.38481,0.11213,0.07209,0.05795,0.0124,0.0055,0.0078,0.0139,0.5865,0.454
223,0.33372,0.12873,0.06188,0.05107,0.0227,0.0166,0.0242,0.0351,5.4223,0.474
235,0.61363,0.58407,0.14879,0.09943,0.0587,0.1042,0.3112,0.3325,13.6597,0.422
236,0.41591,0.20436000000000001,0.08421,0.06465,0.0278,0.0248,0.0453,0.0617,4.979,0.422
238,0.36298,0.12206,0.06792,0.05512,0.0167,0.0095,0.0137,0.0221,1.6794,0.595
239,0.65953,0.38223,0.15479,0.10378,0.0237,0.0198,0.0508,0.0729,0.7641,0.391
255,0.62111,0.28605,0.13985,0.09637,0.0171,0.0106,0.0241,0.0386,0.3469,0.62
258,0.55889,0.20685,0.11933,0.08554,0.013,0.0064,0.0125,0.0217,0.2172,0.62
260,0.75,0.69488,0.1919,0.12146,0.0464,0.0695,0.2314,0.2671,3.6997,0.319
264,0.53349,0.32468,0.11856,0.0841,0.0315,0.0324,0.0747,0.0977,3.3624,0.27
266,0.20467,0.06107,0.03217,0.03077,0.0234,0.0163,0.0161,0.0231,26.3686,0.659
267,0.64262,0.41744,0.15156,0.1018,0.0295,0.0294,0.0778,0.1041,1.5667,0.355
268,0.34575,0.13466,0.06482,0.05295,0.0223,0.0161,0.0241,0.0353,4.6244,0.368
273,0.39835,0.19123,0.07948,0.06182,0.0278,0.0247,0.0436,0.0593,5.7079,0.43
278,0.95104,0.88497,0.26032,0.15424,0.0374,0.0481,0.185,0.2294,0.9441,0.609
281,0.4974,0.18993,0.10311,0.07623,0.0153,0.0085,0.0156,0.0258,0.501,0.469
